description;population;start_date;end_date;location;zones;annee_scolaire
Vacances d'Hiver;-;2019-02-16T00:00:00+01:00;2019-03-04T00:00:00+01:00;Bordeaux;Zone A;2018-2019
Vacances d'Hiver;-;2019-02-23T00:00:00+01:00;2019-03-11T00:00:00+01:00;Toulouse;Zone C;2018-2019
Vacances de Printemps;-;2019-04-06T00:00:00+02:00;2019-04-23T00:00:00+02:00;Nantes;Zone B;2018-2019
Vacances de Printemps;-;2019-04-13T00:00:00+02:00;2019-04-29T00:00:00+02:00;Grenoble;Zone A;2018-2019
Vacances de Printemps;-;2019-04-13T00:00:00+02:00;2019-04-29T00:00:00+02:00;Lyon;Zone A;2018-2019
Vacances de Printemps;-;2019-04-19T00:00:00+02:00;2019-05-06T00:00:00+02:00;Saint Pierre et Miquelon;Saint Pierre et Miquelon;2018-2019
Pont de l'Ascension;-;2019-05-29T00:00:00+02:00;2019-06-03T00:00:00+02:00;Clermont-Ferrand;Zone A;2018-2019
Pont de l'Ascension;-;2019-05-29T00:00:00+02:00;2019-06-03T00:00:00+02:00;Aix-Marseille;Zone B;2018-2019
Pont de l'Ascension;-;2019-05-29T00:00:00+02:00;2019-06-03T00:00:00+02:00;Amiens;Zone B;2018-2019
Pont de l'Ascension;-;2019-05-29T00:00:00+02:00;2019-06-03T00:00:00+02:00;Caen;Zone B;2018-2019
Pont de l'Ascension;-;2019-05-29T00:00:00+02:00;2019-06-03T00:00:00+02:00;Rouen;Zone B;2018-2019
Pont de l'Ascension;-;2019-05-29T00:00:00+02:00;2019-06-03T00:00:00+02:00;Toulouse;Zone C;2018-2019
Pont de l'Ascension;-;2019-05-29T00:00:00+02:00;2019-06-03T00:00:00+02:00;Martinique;Martinique;2018-2019
Grandes Vacances;Enseignants du premier degré;2019-07-04T00:00:00+02:00;2019-08-12T00:00:00+02:00;Polynésie;Polynésie;2018-2019
Vacances d'Été;Élèves;2019-07-06T00:00:00+02:00;2019-09-02T00:00:00+02:00;Besançon;Zone A;2018-2019
Vacances d'Été;Enseignants;2019-07-06T00:00:00+02:00;2019-08-30T00:00:00+02:00;Besançon;Zone A;2018-2019
Vacances d'Été;Enseignants;2019-07-06T00:00:00+02:00;2019-08-30T00:00:00+02:00;Grenoble;Zone A;2018-2019
Vacances d'Été;Enseignants;2019-07-06T00:00:00+02:00;2019-08-30T00:00:00+02:00;Limoges;Zone A;2018-2019
Vacances d'Été;Élèves;2019-07-06T00:00:00+02:00;2019-09-02T00:00:00+02:00;Lyon;Zone A;2018-2019
Vacances d'Été;Élèves;2019-07-06T00:00:00+02:00;2019-09-02T00:00:00+02:00;Poitiers;Zone A;2018-2019
Vacances d'Été;Enseignants;2019-07-06T00:00:00+02:00;2019-08-30T00:00:00+02:00;Poitiers;Zone A;2018-2019
Vacances d'Été;Enseignants;2019-07-06T00:00:00+02:00;2019-08-30T00:00:00+02:00;Aix-Marseille;Zone B;2018-2019
Vacances d'Été;Enseignants;2019-07-06T00:00:00+02:00;2019-08-30T00:00:00+02:00;Lille;Zone B;2018-2019
Vacances d'Été;Élèves;2019-07-06T00:00:00+02:00;2019-09-02T00:00:00+02:00;Nancy-Metz;Zone B;2018-2019
Vacances d'Été;Élèves;2019-07-06T00:00:00+02:00;2019-09-02T00:00:00+02:00;Orléans-Tours;Zone B;2018-2019
Vacances d'Été;Enseignants;2019-07-06T00:00:00+02:00;2019-08-30T00:00:00+02:00;Reims;Zone B;2018-2019
Vacances d'Été;Élèves;2019-07-06T00:00:00+02:00;2019-09-02T00:00:00+02:00;Rennes;Zone B;2018-2019
Vacances d'Été;Enseignants;2019-07-06T00:00:00+02:00;2019-08-30T00:00:00+02:00;Rouen;Zone B;2018-2019
Vacances d'Été;Enseignants;2019-07-06T00:00:00+02:00;2019-08-21T00:00:00+02:00;Mayotte;Mayotte;2018-2019
Grandes Vacances;Enseignants du second degré;2019-07-06T00:00:00+02:00;2019-08-09T00:00:00+02:00;Polynésie;Polynésie;2018-2019
Vacances 4ème période;-;2019-10-12T00:00:00+02:00;2019-10-28T00:00:00+01:00;Wallis et Futuna;Wallis et Futuna;2019
Vacances de la Toussaint;-;2019-10-19T00:00:00+02:00;2019-11-04T00:00:00+01:00;Grenoble;Zone A;2019-2020
Vacances de la Toussaint;-;2019-10-19T00:00:00+02:00;2019-11-04T00:00:00+01:00;Orléans-Tours;Zone B;2019-2020
Vacances de la Toussaint;-;2019-10-19T00:00:00+02:00;2019-11-04T00:00:00+01:00;Rennes;Zone B;2019-2020
Vacances de la Toussaint;-;2019-10-19T00:00:00+02:00;2019-11-04T00:00:00+01:00;Strasbourg;Zone B;2019-2020
Vacances de la Toussaint;-;2019-10-19T00:00:00+02:00;2019-11-04T00:00:00+01:00;Paris;Zone C;2019-2020
Vacances de la Toussaint;-;2019-10-19T00:00:00+02:00;2019-11-04T00:00:00+01:00;Guadeloupe;Guadeloupe;2019-2020
Vacances de Noël;-;2019-12-21T00:00:00+01:00;2020-01-06T00:00:00+01:00;Bordeaux;Zone A;2019-2020
Vacances de Noël;-;2019-12-21T00:00:00+01:00;2020-01-06T00:00:00+01:00;Nancy-Metz;Zone B;2019-2020
Vacances de Noël;-;2019-12-21T00:00:00+01:00;2020-01-06T00:00:00+01:00;Nantes;Zone B;2019-2020
Vacances d'Hiver;-;2020-02-08T00:00:00+01:00;2020-02-24T00:00:00+01:00;Créteil;Zone C;2019-2020
Vacances d'Hiver;-;2020-02-15T00:00:00+01:00;2020-03-02T00:00:00+01:00;Amiens;Zone B;2019-2020
Vacances d'Hiver;-;2020-02-15T00:00:00+01:00;2020-03-02T00:00:00+01:00;Nantes;Zone B;2019-2020
Vacances d'Hiver;-;2020-02-15T00:00:00+01:00;2020-03-02T00:00:00+01:00;Orléans-Tours;Zone B;2019-2020
Vacances d'Hiver;-;2020-02-15T00:00:00+01:00;2020-03-02T00:00:00+01:00;Rennes;Zone B;2019-2020
Vacances d'Hiver;-;2020-02-15T00:00:00+01:00;2020-03-02T00:00:00+01:00;Strasbourg;Zone B;2019-2020
Vacances de Carnaval;-;2020-02-15T00:00:00+01:00;2020-03-02T00:00:00+01:00;Guadeloupe;Guadeloupe;2019-2020
Vacances d'Hiver;-;2020-02-21T00:00:00+01:00;2020-03-09T00:00:00+01:00;Saint Pierre et Miquelon;Saint Pierre et Miquelon;2019-2020
Vacances de Carnaval;-;2020-02-22T00:00:00+01:00;2020-03-09T00:00:00+01:00;Martinique;Martinique;2019-2020
Vacances de Printemps;-;2020-04-04T00:00:00+02:00;2020-04-20T00:00:00+02:00;Montpellier;Zone C;2019-2020
Vacances de Printemps;-;2020-04-11T00:00:00+02:00;2020-04-27T00:00:00+02:00;Lille;Zone B;2019-2020
Vacances de Printemps;-;2020-04-18T00:00:00+02:00;2020-05-04T00:00:00+02:00;Grenoble;Zone A;2019-2020
Vacances de Printemps;-;2020-04-18T00:00:00+02:00;2020-05-04T00:00:00+02:00;Poitiers;Zone A;2019-2020
